geonameid,name,asciiname,country_code,country_name,admin1,latitude,longitude,population,timezone
3183875,Tirana,Tirana,AL,Albania,50,41.32744,19.81866,418495,Europe/Tirane
3185728,Durrës,Durres,AL,Albania,42,41.32355,19.45469,195920,Europe/Tirane
3183719,Vlorë,Vlore,AL,Albania,51,40.4696,19.48379,115261,Europe/Tirane
783263,Elbasan,Elbasan,AL,Albania,43,41.11138,20.08224,100903,Europe/Tirane
3184081,Shkodër,Shkoder,AL,Albania,49,42.06828,19.51258,95553,Europe/Tirane
3184862,Lushnjë,Lushnje,AL,Albania,44,40.94194,19.705,63135,Europe/Tirane
3186084,Berat,Berat,AL,Albania,40,40.70583,19.95222,62232,Europe/Tirane
3185670,Fier-Çifçi,Fier-Cifci,AL,Albania,44,40.71667,19.56667,60995,Europe/Tirane
782756,Korçë,Korce,AL,Albania,46,40.61861,20.78083,58259,Europe/Tirane
3185672,Fier,Fier,AL,Albania,44,40.7251,19.55823,56297,Europe/Tirane
3185082,Krujë,Kruje,AL,Albania,42,41.50917,19.79278,51191,Europe/Tirane
2507480,Algiers,Algiers,DZ,Algeria,01,36.73225,3.08746,2364230,Africa/Algiers
2485926,Oran,Oran,DZ,Algeria,09,35.69906,-0.63588,803329,Africa/Algiers
2501152,Constantine,Constantine,DZ,Algeria,04,36.365,6.61472,448028,Africa/Algiers
2506999,Annaba,Annaba,DZ,Algeria,37,36.9,7.76667,342703,Africa/Algiers
2503769,Blida,Blida,DZ,Algeria,20,36.47004,2.8277,331779,Africa/Algiers
2505572,Batna City,Batna City,DZ,Algeria,03,35.55597,6.17414,289504,Africa/Algiers
2505854,Bab Ezzouar,Bab Ezzouar,DZ,Algeria,01,36.72615,3.18291,275630,Africa/Algiers
2500017,Djelfa,Djelfa,DZ,Algeria,22,34.67279,3.263,265833,Africa/Algiers
2481700,Sétif,Setif,DZ,Algeria,12,36.19112,5.41373,252127,Africa/Algiers
2481007,Sidi Bel Abbes,Sidi Bel Abbes,DZ,Algeria,30,35.18994,-0.63085,210146,Africa/Algiers
2503826,Biskra,Biskra,DZ,Algeria,19,34.85038,5.72805,204661,Africa/Algiers
2477461,Tébessa,Tebessa,DZ,Algeria,33,35.40417,8.12417,194461,Africa/Algiers
2497411,El Oued,El Oued,DZ,Algeria,43,33.35608,6.86319,186525,Africa/Algiers
2479536,Skikda,Skikda,DZ,Algeria,31,36.87617,6.90921,182903,Africa/Algiers
2476897,Tiaret,Tiaret,DZ,Algeria,13,35.37103,1.31699,178915,Africa/Algiers
2498611,Chlef,Chlef,DZ,Algeria,41,36.16525,1.33452,178616,Africa/Algiers
2505329,Béjaïa,Bejaia,DZ,Algeria,18,36.75587,5.08433,176139,Africa/Algiers
2475687,Tlemcen,Tlemcen,DZ,Algeria,15,34.87833,-1.315,173531,Africa/Algiers
2485801,Ouargla,Ouargla,DZ,Algeria,50,31.94932,5.32502,169928,Africa/Algiers
2505530,Béchar,Bechar,DZ,Algeria,38,31.61667,-2.21667,165241,Africa/Algiers
2240449,Luanda,Luanda,AO,Angola,20,-8.83682,13.23432,2776168,Africa/Luanda
3347762,Lubango,Lubango,AO,Angola,09,-14.91717,13.4925,600751,Africa/Luanda
3348313,Huambo,Huambo,AO,Angola,08,-12.77611,15.73917,595304,Africa/Luanda
3351663,Benguela,Benguela,AO,Angola,01,-12.57674,13.40268,555124,Africa/Luanda
2243271,Cabinda,Cabinda,AO,Angola,03,-5.56198,12.19476,550000,Africa/Luanda
2239862,Malanje,Malanje,AO,Angola,12,-9.54015,16.34096,455000,Africa/Luanda
145531,Saurimo,Saurimo,AO,Angola,18,-9.66078,20.39155,393000,Africa/Luanda
3347939,Lobito,Lobito,AO,Angola,01,-12.3644,13.53601,357950,Africa/Luanda
3348078,Cuíto,Cuito,AO,Angola,02,-12.38333,16.93333,355423,Africa/Luanda
2236568,Uíge,Uige,AO,Angola,15,-7.60874,15.06131,322531,Africa/Luanda
3347719,Luena,Luena,AO,Angola,14,-11.78333,19.91667,273675,Africa/Luanda
3347019,Mossamedes,Mossamedes,AO,Angola,13,-15.19611,12.15222,255000,Africa/Luanda
3347353,Menongue,Menongue,AO,Angola,04,-14.6585,17.69099,251178,Africa/Luanda
145778,Chitato,Chitato,AO,Angola,17,-7.3,20.73333,246880,Africa/Luanda
3346015,Sumbe,Sumbe,AO,Angola,06,-11.20605,13.84371,205832,Africa/Luanda
2236967,Soyo,Soyo,AO,Angola,16,-6.1349,12.36894,200920,Africa/Luanda
145757,Dundo,Dundo,AO,Angola,17,-7.36643,20.81557,177604,Africa/Luanda
2239076,N'dalatando,N'dalatando,AO,Angola,05,-9.29782,14.91162,161584,Africa/Luanda
2239520,Mbanza Kongo,Mbanza Kongo,AO,Angola,16,-6.26667,14.23833,148000,Africa/Luanda
3351500,Caála,Caala,AO,Angola,08,-12.8525,15.56056,130000,Africa/Luanda
2761369,Vienna,Vienna,AT,Austria,09,48.20849,16.37208,1691468,Europe/Vienna
2778067,Graz,Graz,AT,Austria,06,47.06733,15.44197,303270,Europe/Vienna
2772400,Linz,Linz,AT,Austria,04,48.30639,14.28611,204846,Europe/Vienna
8063098,Favoriten,Favoriten,AT,Austria,09,48.16116,16.38233,201882,Europe/Vienna
11903636,Donaustadt,Donaustadt,AT,Austria,09,48.2333,16.46002,187007,Europe/Vienna
2779469,Floridsdorf,Floridsdorf,AT,Austria,09,48.25,16.4,162779,Europe/Vienna
2766824,Salzburg,Salzburg,AT,Austria,05,47.79941,13.04399,157245,Europe/Vienna
2775220,Innsbruck,Innsbruck,AT,Austria,07,47.26266,11.39454,132493,Europe/Vienna
2769359,Ottakring,Ottakring,AT,Austria,09,48.21667,16.3,104627,Europe/Vienna
2765028,Simmering,Simmering,AT,Austria,09,48.18333,16.43333,101420,Europe/Vienna
2774326,Klagenfurt am Wörthersee,Klagenfurt am Woerthersee,AT,Austria,02,46.62472,14.30528,100316,Europe/Vienna
12214069,Landstraße,Landstrasse,AT,Austria,09,48.2019,16.38792,98389,Europe/Vienna
2775371,Penzing,Penzing,AT,Austria,09,48.2,16.26667,98176,Europe/Vienna
2771706,Meidling,Meidling,AT,Austria,09,48.16667,16.33333,97624,Europe/Vienna
12214081,Brigittenau,Brigittenau,AT,Austria,09,48.24275,16.37551,86967,Europe/Vienna
2779139,Fünfhaus,Fuenfhaus,AT,Austria,09,48.19596,16.3183,76396,Europe/Vienna
2600996,Döbling,Doebling,AT,Austria,09,48.25,16.33333,75418,Europe/Vienna
2762372,Villach,Villach,AT,Austria,02,46.61028,13.85583,58882,Europe/Vienna
2776488,Hernals,Hernals,AT,Austria,09,48.23333,16.26667,57546,Europe/Vienna
12214070,Margareten,Margareten,AT,Austria,09,48.1855,16.35373,54412,Europe/Vienna
385038,Ar Rifā‘,Ar Rifa',BH,Bahrain,17,26.13,50.555,195606,Asia/Bahrain
290340,Manama,Manama,BH,Bahrain,16,26.22787,50.58565,147074,Asia/Bahrain
290332,Al Muharraq,Al Muharraq,BH,Bahrain,15,26.25722,50.61194,97458,Asia/Bahrain
290269,Dār Kulayb,Dar Kulayb,BH,Bahrain,17,26.06861,50.50389,65466,Asia/Bahrain
290247,Madīnat Ḩamad,Madinat Hamad,BH,Bahrain,19,26.11528,50.50694,52718,Asia/Bahrain
625144,Minsk,Minsk,BY,Belarus,04,53.90019,27.56653,1742124,Europe/Minsk
627907,Homyel',Homyel',BY,Belarus,02,52.4345,30.9754,501102,Europe/Minsk
